官网顺序,目录路径,一级目录,二级目录,三级目录,页面标题,文档标题,doc_id,官方链接,接口名,接口类型,描述,更新时间,权限类型,权限原文,限量/频次原文,输入参数数量,输入参数结构,输出字段数量,输出字段摘要,证据状态
130,ETF专题 / ETF实时参考,ETF专题,,,ETF实时参考,ETF实时参考,454,https://tushare.pro/document/2?doc_id=454,rt_etf_sz_iopv,ETF专题,描述：ETF实时净值和申购赎回数据参考，目前只提供深市,,单独开权限,权限：本接口为单独开权限的接口，跟积分多个无关。正式权限请参阅 权限说明,限量：单次最大5000条，完全覆盖当前总量,1,ts_code:str,12,"trade_time:datetime(Y), ts_code:str(Y), vol:float(Y), num:int(Y), amount:float(Y), price:float(Y), iopv:float(Y), pre_iopv:float(Y), buy_num:int(Y), buy_vol:float(Y), sell_num:int(Y), sell_vol:float(Y)",官网右侧文档直接提取
131,ETF专题 / 指数公司公告,ETF专题,,,指数公司公告,指数公告,460,https://tushare.pro/document/2?doc_id=460,idx_anns,ETF专题,描述：获取指数公司披露的相关公告信息，包括中证指数、国证指数、恒生指数和华证指数的及时与历史公告信息，跟踪指数最新信息和发展方向。,,积分可访问,积分：需要6000积分可以调取，具体请参阅积分获取办法,限量：单次最大返回1000条数据，可根据日期循环提取,4,"ann_date:str, start_date:str, end_date:str, src:str",5,"ann_date:str(Y), title:str(Y), url:str(Y), source:str(Y), type:str(Y)",官网右侧文档直接提取
133,指数专题 / 指数基本信息,指数专题,,,指数基本信息,指数基本信息,94,https://tushare.pro/document/2?doc_id=94,index_basic,指数专题,描述：获取指数基础信息。,,积分可访问,,,6,"ts_code:str, symbol:str, name:str, market:str, publisher:str, category:str",21,"ts_code:str, name:str, fullname:str, market:str, publisher:str, index_type:str, category:str, base_date:str, base_point:float, list_date:str, weight_rule:str, desc:str, exp_date:str, 市场代码:说明, MSCI:MSCI指数, CSI:中证指数, SSE:上交所指数, SZSE:深交所指数, CICC:中金指数, SW:申万指数, OTH:其他指数",官网右侧文档直接提取；官网右侧文档未明示权限；按指数基础信息大类判定为积分接口
134,指数专题 / 指数日线行情,指数专题,,,指数日线行情,指数日线行情,95,https://tushare.pro/document/2?doc_id=95,index_daily,指数专题,描述：获取指数每日行情，还可以通过bar接口获取。由于服务器压力，目前规则是单次调取最多取8000行记录，可以设置start和end日期补全。指数行情也可以通过通用行情接口获取数据。本接口不包含申万行业指数行情数据。,,积分可访问,权限：用户累积2000积分可调取，5000积分以上频次相对较高，具体请参阅积分获取办法,,4,"ts_code*:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str, trade_date:str, close:float, open:float, high:float, low:float, pre_close:float, change:float, pct_chg:float, vol:float, amount:float",官网右侧文档直接提取
135,指数专题 / 指数实时日线,指数专题,,,指数实时日线,交易所指数实时日线,403,https://tushare.pro/document/2?doc_id=403,rt_idx_k,指数专题,描述：获取交易所指数实时日线行情，支持按代码或代码通配符一次性提取全部交易所指数实时日k线行情,,单独开权限,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表,,1,ts_code*:str,10,"ts_code:str(Y), name:str(Y), trade_time:str(Y), close:float(Y), pre_close:float(Y), high:float(Y), open:float(Y), low:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
136,指数专题 / 指数实时分钟,指数专题,,,指数实时分钟,A股实时分钟,420,https://tushare.pro/document/2?doc_id=420,rt_idx_min,指数专题,描述：获取交易所指数实时分钟数据，包括1~60min,,单独开权限,权限：正式权限请参阅 权限说明,限量：单次最大1000行数据，可以通过股票代码提取数据，支持逗号分隔的多个代码同时提取,8,"freq*:str, ts_code*:str, freq:说明, 1MIN:1分钟, 5MIN:5分钟, 15MIN:15分钟, 30MIN:30分钟, 60MIN:60分钟",8,"ts_code:str(Y), time:None(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
137,指数专题 / 指数周线行情,指数专题,,,指数周线行情,指数周线行情,171,https://tushare.pro/document/2?doc_id=171,index_weekly,指数专题,描述：获取指数周线行情,,积分可访问,积分：用户需要至少600积分才可以调取，积分越多频次越高，具体请参阅积分获取办法,限量：单次最大1000行记录，可分批获取，总量不限制,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), change:float(Y), pct_chg:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
138,指数专题 / 指数历史分钟,指数专题,,,指数历史分钟,指数历史分钟行情,419,https://tushare.pro/document/2?doc_id=419,idx_mins,指数专题,描述：获取交易所指数分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,,单独开权限,权限：需单独开权限，正式权限请参阅 权限说明 ，可以在线开通分钟权限。,限量：单次最大8000行数据，可以通过指数代码和时间循环获取，本接口可以提供超过10年历史分钟数据,10,"ts_code*:str, freq*:str, start_date:datetime, end_date:datetime, freq:说明, 1min:1分钟, 5min:5分钟, 15min:15分钟, 30min:30分钟, 60min:60分钟",8,"ts_code:str(Y), trade_time:str(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:int(Y), amount:float(Y)",官网右侧文档直接提取
139,指数专题 / 指数月线行情,指数专题,,,指数月线行情,指数月线行情,172,https://tushare.pro/document/2?doc_id=172,index_monthly,指数专题,"描述：获取指数月线行情,每月更新一次",,积分可访问,积分：用户需要至少600积分才可以调取，积分越多频次越高，具体请参阅积分获取办法,"限量：单次最大1000行记录,可多次获取,总量不限制",4,"ts_code:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), change:float(Y), pct_chg:float(Y), vol:float(成交量（手）), amount:float(成交额（千元）)",官网右侧文档直接提取
140,指数专题 / 指数成分和权重,指数专题,,,指数成分和权重,指数成分和权重,96,https://tushare.pro/document/2?doc_id=96,index_weight,指数专题,描述：获取各类指数成分和权重，月度数据 ，建议输入参数里开始日期和结束日分别输入当月第一天和最后一天的日期。,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,,4,"index_code*:str, trade_date:str, start_date:str, end_date:None",4,"index_code:str, con_code:str, trade_date:str, weight:float",官网右侧文档直接提取
141,指数专题 / 大盘指数每日指标,指数专题,,,大盘指数每日指标,大盘指数每日指标,128,https://tushare.pro/document/2?doc_id=128,index_dailybasic,指数专题,描述：目前只提供上证综指，深证成指，上证50，中证500，中小板指，创业板指的每日指标数据,,积分可访问,,,4,"trade_date:str, ts_code:str, start_date:str, end_date:str",12,"ts_code:str(Y), trade_date:str(Y), total_mv:float(Y), float_mv:float(Y), total_share:float(Y), float_share:float(Y), free_share:float(Y), turnover_rate:float(Y), turnover_rate_f:float(Y), pe:float(Y), pe_ttm:float(Y), pb:float(Y)",官网右侧文档直接提取
142,指数专题 / 申万行业分类,指数专题,,,申万行业分类,申万行业分类,181,https://tushare.pro/document/2?doc_id=181,index_classify,指数专题,描述：获取申万行业分类，可以获取申万2014年版本（28个一级分类，104个二级分类，227个三级分类）和2021年本版（31个一级分类，134个二级分类，346个三级分类）列表信息,,积分可访问,权限：用户需2000积分可以调取，具体请参阅积分获取办法,,4,"index_code:str, level:str, parent_code:str, src:str",7,"index_code:str(Y), industry_name:str(Y), parent_code:str(Y), level:str(Y), industry_code:str(Y), is_pub:str(Y), src:str(N)",官网右侧文档直接提取
143,指数专题 / 申万行业成分（分级）,指数专题,,,申万行业成分（分级）,申万行业成分构成(分级),335,https://tushare.pro/document/2?doc_id=335,index_member_all,指数专题,描述：按三级分类提取申万行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,,积分可访问,权限：用户需2000积分可调取，积分获取方法请参阅积分获取办法,限量：单次最大2000行，总量不限制,5,"l1_code:str, l2_code:str, l3_code:str, ts_code:str, is_new:str",11,"l1_code:str(Y), l1_name:str(Y), l2_code:str(Y), l2_name:str(Y), l3_code:str(Y), l3_name:str(Y), ts_code:str(Y), name:str(Y), in_date:str(Y), out_date:str(Y), is_new:str(Y)",官网右侧文档直接提取
144,指数专题 / 申万日线行情,指数专题,,,申万日线行情,申万行业日线行情,327,https://tushare.pro/document/2?doc_id=327,sw_daily,指数专题,描述：获取申万行业日线行情（默认是申万2021版行情）,,积分可访问,,限量：单次最大4000行数据，可通过指数代码和日期参数循环提取，5000积分可调取,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",15,"ts_code:str(Y), trade_date:str(Y), name:str(Y), open:float(Y), low:float(Y), high:float(Y), close:float(Y), change:float(Y), pct_change:float(Y), vol:float(Y), amount:float(Y), pe:float(Y), pb:float(Y), float_mv:float(Y), total_mv:float(Y)",官网右侧文档直接提取
145,指数专题 / 申万实时行情,指数专题,,,申万实时行情,申万实时行情,417,https://tushare.pro/document/2?doc_id=417,rt_sw_k,指数专题,描述：获取申万行业指数的最新截面数据,,单独开权限,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表,,1,ts_code:str,11,"ts_code:str(Y), name:str(Y), trade_time:str(Y), close:float(Y), pre_close:float(Y), high:float(Y), open:float(Y), low:float(Y), vol:float(Y), amount:float(Y), pct_change:float(Y)",官网右侧文档直接提取
146,指数专题 / SW历史分钟,指数专题,,,SW历史分钟,SW指数历史分钟,469,https://tushare.pro/document/2?doc_id=469,sw_mins,指数专题,描述：获取申万指数历史分钟数据,,积分可访问,积分：本接口是单独的权限，具体请参阅积分获取办法,限量：单次最大5000条，可根据代码或日期循环提取,4,"ts_code*:str, freq*:str, start_date:datetime, end_date:datetime",8,"ts_code:str(Y), trade_time:str(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), amount:float(Y), vol:float(Y)",官网右侧文档直接提取
147,指数专题 / 中信行业成分,指数专题,,,中信行业成分,中信行业成分,373,https://tushare.pro/document/2?doc_id=373,ci_index_member,指数专题,描述：按三级分类提取中信行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,,积分可访问,权限：用户需5000积分可调取，积分获取方法请参阅积分获取办法,限量：单次最大5000行，总量不限制,5,"l1_code:str, l2_code:str, l3_code:str, ts_code:str, is_new:str",11,"l1_code:str(Y), l1_name:str(Y), l2_code:str(Y), l2_name:str(Y), l3_code:str(Y), l3_name:str(Y), ts_code:str(Y), name:str(Y), in_date:str(Y), out_date:str(Y), is_new:str(Y)",官网右侧文档直接提取
148,指数专题 / 中信行业指数日行情,指数专题,,,中信行业指数日行情,中信行业指数行情,308,https://tushare.pro/document/2?doc_id=308,ci_daily,指数专题,描述：获取中信行业指数日线行情,,积分可访问,积分：5000积分可调取，可通过指数代码和日期参数循环获取所有数据,限量：单次最大4000条，可循环提取,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str(Y), trade_date:str(Y), open:float(Y), low:float(Y), high:float(Y), close:float(Y), pre_close:float(Y), change:float(Y), pct_change:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
149,指数专题 / 国际主要指数,指数专题,,,国际主要指数,国际指数,211,https://tushare.pro/document/2?doc_id=211,index_global,指数专题,描述：获取国际主要指数日线行情,,积分可访问,积分：用户积6000积分可调取，积分越高频次越高，请自行提高积分，具体请参阅积分获取办法,限量：单次最大提取4000行情数据，可循环获取，总量不限制,26,"ts_code:str, trade_date:str, start_date:str, end_date:str, TS指数代码:指数名称, XIN9:富时中国A50指数 (富时A50), HSI:恒生指数, HKTECH:恒生科技指数, HKAH:恒生AH股H指数, DJI:道琼斯工业指数, SPX:标普500指数, IXIC:纳斯达克指数, FTSE:富时100指数, FCHI:法国CAC40指数, GDAXI:德国DAX指数, N225:日经225指数, KS11:韩国综合指数, AS51:澳大利亚标普200指数, SENSEX:印度孟买SENSEX指数, IBOVESPA:巴西IBOVESPA指数, RTS:俄罗斯RTS指数, TWII:台湾加权指数, CKLSE:马来西亚指数, SPTSX:加拿大S&P/TSX指数, CSX5P:STOXX欧洲50指数, RUT:罗素2000指数",12,"ts_code:str(Y), trade_date:str(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), change:float(Y), pct_chg:float(Y), swing:float(Y), vol:float(Y), amount:float(N)",官网右侧文档直接提取
150,指数专题 / 指数技术面因子(专业版),指数专题,,,指数技术面因子(专业版),指数技术因子(专业版),358,https://tushare.pro/document/2?doc_id=358,idx_factor_pro,指数专题,描述：获取指数每日技术面因子数据，用于跟踪指数当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估，指数包括大盘指数 申万行业指数 中信指数,,积分可访问,积分：5000积分每分钟可以请求30次，8000积分以上每分钟500次,限量：单次最大8000,4,"ts_code:str, start_date:str, end_date:str, trade_date:str",94,"ts_code:str, start_date:str, end_date:str, trade_date:str, 名称:类型, ts_code:str, trade_date:str, open:float, high:float, low:float, close:float, pre_close:float, change:float, pct_change:float, vol:float, amount:float, asi_bfq:float, asit_bfq:float, atr_bfq:float, bbi_bfq:float, bias1_bfq:float, bias2_bfq:float, bias3_bfq:float, boll_lower_bfq:float, boll_mid_bfq:float, boll_upper_bfq:float, brar_ar_bfq:float, brar_br_bfq:float, cci_bfq:float, cr_bfq:float, dfma_dif_bfq:float, dfma_difma_bfq:float, dmi_adx_bfq:float, dmi_adxr_bfq:float, dmi_mdi_bfq:float, dmi_pdi_bfq:float, downdays:float, updays:float, dpo_bfq:float, madpo_bfq:float, ema_bfq_10:float, ema_bfq_20:float, ema_bfq_250:float, ema_bfq_30:float, ema_bfq_5:float, ema_bfq_60:float, ema_bfq_90:float, emv_bfq:float, maemv_bfq:float, expma_12_bfq:float, expma_50_bfq:float, kdj_bfq:float, kdj_d_bfq:float, kdj_k_bfq:float, ktn_down_bfq:float, ktn_mid_bfq:float, ktn_upper_bfq:float, lowdays:float, topdays:float, ma_bfq_10:float ... +34",官网右侧文档直接提取
151,指数专题 / 沪深市场每日交易统计,指数专题,,,沪深市场每日交易统计,市场交易统计,215,https://tushare.pro/document/2?doc_id=215,daily_info,指数专题,描述：获取交易所股票交易统计，包括各板块明细,,积分可访问,权限：用户积600积分可调取， 频次有限制，积分越高每分钟调取频次越高，5000积分以上频次相对较高，积分获取方法请参阅积分获取办法,限量：单次最大4000，可循环获取，总量不限制,38,"trade_date:str, ts_code:str, exchange:str, start_date:str, end_date:str, fields:str, 板块代码（TS_CODE）:板块名称（TS_NAME）, SZ_MARKET:深圳市场, SZ_MAIN:深圳主板, SZ_A:深圳A股, SZ_B:深圳B股, SZ_GEM:创业板, SZ_SME:中小企业板, SZ_FUND:深圳基金市场, SZ_FUND_ETF:深圳基金ETF, SZ_FUND_LOF:深圳基金LOF, SZ_FUND_CEF:深圳封闭基金, SZ_FUND_SF:深圳分级基金, SZ_BOND:深圳债券, SZ_BOND_CN:深圳债券现券, SZ_BOND_REP:深圳债券回购, SZ_BOND_ABS:深圳债券ABS, SZ_BOND_GOV:深圳国债, SZ_BOND_ENT:深圳企业债, SZ_BOND_COR:深圳公司债, SZ_BOND_CB:深圳可转债, SZ_WR:深圳权证, SH_MARKET:上海市场, SH_A:上海A股, SH_B:上海B股, SH_STAR:科创板, SH_REP:股票回购, SH_FUND:上海基金市场, SH_FUND_ETF:上海基金ETF, SH_FUND_LOF:上海基金LOF, SH_FUND_REP:上海基金回购, SH_FUND_CEF:上海封闭式基金, SH_FUND_METF:上海交易型货币基金",14,"trade_date:str(Y), ts_code:str(Y), ts_name:str(Y), com_count:int(Y), total_share:float(Y), float_share:float(Y), total_mv:float(Y), float_mv:float(Y), amount:float(Y), vol:float(Y), trans_count:int(Y), pe:float(Y), tr:float(Y), exchange:str(Y)",官网右侧文档直接提取
152,指数专题 / 深圳市场每日交易情况,指数专题,,,深圳市场每日交易情况,深圳市场每日交易概况,268,https://tushare.pro/document/2?doc_id=268,sz_daily_info,指数专题,描述：获取深圳市场每日交易概况,,积分可访问,权限：用户积2000积分可调取， 频次有限制，积分越高每分钟调取频次越高，5000积分以上频次相对较高，积分获取方法请参阅积分获取办法,限量：单次最大2000，可循环获取，总量不限制,19,"trade_date:str, ts_code:str, start_date:str, end_date:str, 板块代码（TS_CODE）:板块说明, 股票:深圳市场股票总和, 主板A股:深圳主板A股情况, 主板B股:深圳主板B股情况, 创业板A股:深圳创业板情况, 基金:深圳市场基金总和, ETF:深圳ETF交易情况, LOF:深圳LOF交易情况, 封闭式基金:深圳封闭式基金交易情况, 基础设施基金:深圳RETIS基金交易情况, 债券:深圳债券市场总和, 债券现券:深圳现券交易情况, 债券回购:深圳债券回购交易情况, ABS:深圳ABS交易情况, 期权:深圳期权总和",9,"trade_date:str(Y), ts_code:str(Y), count:int(Y), amount:float(Y), vol:None(Y), total_share:float(Y), total_mv:float(Y), float_share:float(Y), float_mv:float(Y)",官网右侧文档直接提取
154,公募基金 / 基金列表,公募基金,,,基金列表,公募基金列表,19,https://tushare.pro/document/2?doc_id=19,fund_basic,公募基金,描述：获取公募基金数据列表，包括场内和场外基金,,积分可访问,积分：用户需要2000积分才可以调取，单次最大可以提取15000条数据，5000积分以上权限更高，具体请参阅积分获取办法,,3,"ts_code:str, market:str, status:str",25,"ts_code:str(Y), name:str(Y), management:str(Y), custodian:str(Y), fund_type:str(Y), found_date:str(Y), due_date:str(Y), list_date:str(Y), issue_date:str(Y), delist_date:str(Y), issue_amount:float(Y), m_fee:float(Y), c_fee:float(Y), duration_year:float(Y), p_value:float(Y), min_amount:float(Y), exp_return:float(Y), benchmark:str(Y), status:str(Y), invest_type:str(Y), type:str(Y), trustee:str(Y), purc_startdate:str(Y), redm_startdate:str(Y), market:str(Y)",官网右侧文档直接提取
155,公募基金 / 基金管理人,公募基金,,,基金管理人,公募基金公司,118,https://tushare.pro/document/2?doc_id=118,fund_company,公募基金,描述：获取公募基金管理人列表,,积分可访问,积分：用户需要1500积分才可以调取，一次可以提取全部数据。具体请参阅积分获取办法,,0,,18,"name:str(Y), shortname:str(Y), short_enname:str(N), province:str(Y), city:str(Y), address:str(Y), phone:str(Y), office:str(Y), website:str(Y), chairman:str(Y), manager:str(Y), reg_capital:float(Y), setup_date:str(Y), end_date:str(Y), employees:float(Y), main_business:str(Y), org_code:str(Y), credit_code:str(Y)",官网右侧文档直接提取
156,公募基金 / 基金经理,公募基金,,,基金经理,基金经理,208,https://tushare.pro/document/2?doc_id=208,fund_manager,公募基金,描述：获取公募基金经理数据，包括基金经理简历等数据,,积分可访问,积分：用户有500积分可获取数据，2000积分以上可以提高访问频次,限量：单次最大5000，支持分页提取数据,5,"ts_code:str, ann_date:str, name:str, offset:intint, limit:int",10,"ts_code:str(Y), ann_date:str(Y), name:str(Y), gender:str(Y), birth_year:str(Y), edu:str(Y), nationality:str(Y), begin_date:str(Y), end_date:str(Y), resume:str(Y)",官网右侧文档直接提取
157,公募基金 / 基金业绩基准,公募基金,,,基金业绩基准,公募基金业绩基准库,462,https://tushare.pro/document/2?doc_id=462,mkt_idx_bmk,公募基金,描述：获取官方发布的ETF业绩比较基准列表信息，分为一类库、二类库,,积分可访问,积分：需要5000积分可以调取，具体请参阅积分获取办法,限量：单次最大500条，单次可以提取全部列表,3,"ts_code:str, bmk_type:str, bmk_level:str",8,"ts_code:str(Y), symbol:str(Y), name:str(Y), fullname:str(Y), bmk_level:str(Y), bmk_type:str(Y), bmk_src:str(Y), idx_type:str(Y)",官网右侧文档直接提取
158,公募基金 / 基金规模,公募基金,,,基金规模,基金规模数据,207,https://tushare.pro/document/2?doc_id=207,fund_share,公募基金,描述：获取基金规模数据，包含上海和深圳ETF基金,,积分可访问,积分：用户需要至少2000积分可以调取，5000积分以上频次较高，具体请参阅积分获取办法,限量：单次最大提取2000行数据,5,"ts_code:str, trade_date:str, start_date:str, end_date:str, market:str",3,"ts_code:str(Y), trade_date:str(Y), fd_share:float(Y)",官网右侧文档直接提取
159,公募基金 / 基金净值,公募基金,,,基金净值,公募基金净值,119,https://tushare.pro/document/2?doc_id=119,fund_nav,公募基金,描述：获取公募基金净值数据,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,,5,"ts_code:str, nav_date:str, market:str, start_date:str, end_date:str",9,"ts_code:str(Y), ann_date:str(Y), nav_date:str(Y), unit_nav:float(Y), accum_nav:float(Y), accum_div:float(Y), net_asset:float(Y), total_netasset:float(Y), adj_nav:float(Y)",官网右侧文档直接提取
160,公募基金 / 基金分红,公募基金,,,基金分红,公募基金分红,120,https://tushare.pro/document/2?doc_id=120,fund_div,公募基金,描述：获取公募基金分红数据,,积分可访问,积分：用户需要至少400积分才可以调取，具体请参阅积分获取办法,,4,"ann_date:str, ex_date:str, pay_date:str, ts_code:str",16,"ts_code:str(Y), ann_date:str(Y), imp_anndate:str(Y), base_date:str(Y), div_proc:str(Y), record_date:str(Y), ex_date:str(Y), pay_date:str(Y), earpay_date:str(Y), net_ex_date:str(Y), div_cash:float(Y), base_unit:float(Y), ear_distr:float(Y), ear_amount:float(Y), account_date:str(Y), base_year:str(Y)",官网右侧文档直接提取
161,公募基金 / 基金持仓,公募基金,,,基金持仓,公募基金持仓数据,121,https://tushare.pro/document/2?doc_id=121,fund_portfolio,公募基金,描述：获取公募基金持仓数据，季度更新,,积分可访问,积分：5000积分以上每分钟请求200次，8000积分以上每分钟请求500次，具体请参阅积分获取办法,,6,"ts_code:str, symbol:str, ann_date:str, period:str, start_date:str, end_date:str",8,"ts_code:str(Y), ann_date:str(Y), end_date:str(Y), symbol:str(Y), mkv:float(Y), amount:float(Y), stk_mkv_ratio:float(Y), stk_float_ratio:float(Y)",官网右侧文档直接提取
162,公募基金 / 基金技术面因子(专业版),公募基金,,,基金技术面因子(专业版),场内基金技术因子(专业版),359,https://tushare.pro/document/2?doc_id=359,fund_factor_pro,公募基金,描述：获取场内基金每日技术面因子数据，用于跟踪场内基金当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,,积分可访问,积分：5000积分每分钟可以请求30次，8000积分以上每分钟500次,限量：单次最大8000,4,"ts_code:str, start_date:str, end_date:str, trade_date:str",95,"ts_code:str, start_date:str, end_date:str, trade_date:str, 名称:类型, ts_code:str, trade_date:str, trade_date_doris:None, open:float, high:float, low:float, close:float, pre_close:float, change:float, pct_change:float, vol:float, amount:float, asi_bfq:float, asit_bfq:float, atr_bfq:float, bbi_bfq:float, bias1_bfq:float, bias2_bfq:float, bias3_bfq:float, boll_lower_bfq:float, boll_mid_bfq:float, boll_upper_bfq:float, brar_ar_bfq:float, brar_br_bfq:float, cci_bfq:float, cr_bfq:float, dfma_dif_bfq:float, dfma_difma_bfq:float, dmi_adx_bfq:float, dmi_adxr_bfq:float, dmi_mdi_bfq:float, dmi_pdi_bfq:float, downdays:float, updays:float, dpo_bfq:float, madpo_bfq:float, ema_bfq_10:float, ema_bfq_20:float, ema_bfq_250:float, ema_bfq_30:float, ema_bfq_5:float, ema_bfq_60:float, ema_bfq_90:float, emv_bfq:float, maemv_bfq:float, expma_12_bfq:float, expma_50_bfq:float, kdj_bfq:float, kdj_d_bfq:float, kdj_k_bfq:float, ktn_down_bfq:float, ktn_mid_bfq:float, ktn_upper_bfq:float, lowdays:float, topdays:float ... +35",官网右侧文档直接提取
164,期货数据 / 合约信息,期货数据,,,合约信息,期货合约信息表,135,https://tushare.pro/document/2?doc_id=135,fut_basic,期货数据,描述：获取期货合约列表数据,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,限量：单次最大10000,4,"exchange*:str, fut_type:str, fut_code:str, list_date:str",16,"ts_code:str(Y), symbol:str(Y), exchange:str(Y), name:str(Y), fut_code:str(Y), multiplier:float(Y), trade_unit:str(Y), per_unit:float(Y), quote_unit:str(Y), quote_unit_desc:str(Y), d_mode_desc:str(Y), list_date:str(Y), delist_date:str(Y), d_month:str(Y), last_ddate:str(Y), trade_time_desc:str(N)",官网右侧文档直接提取
165,期货数据 / 期货交易日历,期货数据,,,期货交易日历,交易日历,467,https://tushare.pro/document/2?doc_id=467,fut_trade_cal,期货数据,描述：获取各大期货交易所交易日历数据,,积分可访问,积分：需2000积分才可以提取数据,,4,"exchange:str, start_date:str, end_date:str, is_open:int",4,"exchange:str(Y), cal_date:str(Y), is_open:int(Y), pretrade_date:str(N)",官网右侧文档直接提取
166,期货数据 / 日线行情,期货数据,,,日线行情,期货日线行情,138,https://tushare.pro/document/2?doc_id=138,fut_daily,期货数据,描述：期货日线行情数据,,积分可访问,积分：用户需要至少2000积分才可以调取，未来可能调整积分，请尽量多的积累积分。具体请参阅积分获取办法,限量：单次最大2000条，总量不限制,5,"trade_date:str, ts_code:str, exchange:str, start_date:str, end_date:str",16,"ts_code:str(Y), trade_date:str(Y), pre_close:float(Y), pre_settle:float(Y), open:float(Y), high:float(Y), low:float(Y), close:float(Y), settle:float(Y), change1:float(Y), change2:float(Y), vol:float(Y), amount:float(Y), oi:float(Y), oi_chg:float(Y), delv_settle:float(N)",官网右侧文档直接提取
167,期货数据 / 期货周/月线行情(每日更新),期货数据,,,期货周/月线行情(每日更新),期货周/月线行情(每日更新),337,https://tushare.pro/document/2?doc_id=337,fut_weekly_monthly,期货数据,描述：期货周/月线行情(每日更新),,积分可访问,,限量：单次最大6000,6,"ts_code:str, trade_date:str, start_date:str, end_date:str, freq*:str, exchange:str",18,"ts_code:str(Y), trade_date:str(Y), end_date:str(Y), freq:str(Y), open:float(Y), high:float(Y), low:float(Y), close:float(Y), pre_close:float(Y), settle:float(Y), pre_settle:float(Y), vol:float(Y), amount:float(Y), oi:float(Y), oi_chg:float(Y), exchange:str(Y), change1:float(Y), change2:float(Y)",官网右侧文档直接提取；官网右侧文档未明示权限；按期货周/月线同类行情接口判定为积分接口
168,期货数据 / 历史分钟行情,期货数据,,,历史分钟行情,期货历史分钟行情,313,https://tushare.pro/document/2?doc_id=313,ft_mins,期货数据,描述：获取全市场期货合约分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式，如果需要主力合约分钟，请先通过主力mapping接口（需要有至少2000积分）获取对应的合约代码后提取分钟。,,单独开权限,权限：需单独开权限，120积分可以调取2次接口查看数据，正式权限请参阅 权限说明 。,限量：单次最大8000行数据，可以通过期货合约代码和时间循环获取，本接口可以提供超过10年历史分钟数据。,10,"ts_code*:str, freq*:str, start_date:datetime, end_date:datetime, freq:说明, 1min:1分钟, 5min:5分钟, 15min:15分钟, 30min:30分钟, 60min:60分钟",9,"ts_code:str(Y), trade_time:str(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:int(Y), amount:float(Y), oi:float(Y)",官网右侧文档直接提取
169,期货数据 / 实时分钟行情,期货数据,,,实时分钟行情,期货实时分钟行情,340,https://tushare.pro/document/2?doc_id=340,rt_fut_min,期货数据,描述：获取全市场期货合约实时分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK、 http Restful API和websocket三种方式，如果需要主力合约分钟，请先通过主力mapping接口获取对应的合约代码后提取分钟。,,单独开权限,权限：需单独开权限，正式权限请参阅 权限说明 。,限量：每分钟可以请求500次，支持多个合约同时提取,12,"ts_code*:str, freq*:str, 名称:类型, ts_code*:str, freq*:str, date_str:str, freq:说明, 1MIN:1分钟, 5MIN:5分钟, 15MIN:15分钟, 30MIN:30分钟, 60MIN:60分钟",10,"code:str(Y), freq:str(Y), time:str(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:int(Y), amount:float(Y), oi:float(Y)",官网右侧文档直接提取
